,datetime,SOC
80,10/12/17 0:00,0.1
207,10/12/17 1:04,0.357757202
96,10/12/17 4:55,0.432790451
100,10/12/17 6:25,0.396928848
4,10/12/17 6:40,0.374397259
21,10/12/17 8:20,0.035168365
209,10/12/17 8:26,0.414687784
103,10/12/17 8:50,0.455038154
59,10/12/17 8:54,0.389018443
16,10/12/17 9:00,0.126327036
74,10/12/17 9:35,0.138725193
156,10/12/17 9:44,0.168627699
202,10/12/17 9:45,0.42823425
65,10/12/17 10:00,0.1
88,10/12/17 10:30,0.214955688
40,10/12/17 11:20,0.32313127
67,10/12/17 11:30,0.1
145,10/12/17 11:30,0.1
196,10/12/17 11:40,0.342182946
19,10/12/17 11:45,0.334821774
46,10/12/17 12:24,0.115599263
170,10/12/17 12:31,0.1
2,10/12/17 12:55,0.40506332
77,10/12/17 14:00,0.440408111
188,10/12/17 14:35,0.349365745
9,10/12/17 15:30,0.339738349
184,10/12/17 15:32,0.1
162,10/12/17 15:46,0.1
73,10/12/17 16:00,0.138725193
191,10/12/17 16:15,0.009923843
57,10/12/17 16:25,0.256849073
114,10/12/17 16:34,0.454834979
25,10/12/17 16:40,0.072460932
69,10/12/17 17:30,0.267732453
95,10/12/17 17:34,0.243805221
169,10/12/17 18:00,0.1
142,10/12/17 18:00,0.1
151,10/12/17 18:25,0.322323287
197,10/12/17 18:55,0.096439918
208,10/12/17 19:00,0.334916812
113,10/12/17 19:00,0.467439277
43,10/12/17 19:15,0.297297712
183,10/12/17 19:55,0.337264247
154,10/12/17 20:04,0.159798638
134,10/12/17 20:15,0.330336097
94,10/12/17 20:15,0.338297836
126,10/12/17 20:30,0.23013946
129,10/12/17 21:55,0.463926005
168,10/12/17 22:20,0.1
