,datetime,SOC
213,10/12/17 6:35,0.361264751
279,10/12/17 7:00,0.073007014
162,10/12/17 7:22,0.1
101,10/12/17 7:25,0.329029831
96,10/12/17 7:25,0.063175646
181,10/12/17 7:30,0.010456936
25,10/12/17 7:30,0.36667024
199,10/12/17 7:30,0.458768371
150,10/12/17 7:48,0.1
288,10/12/17 7:50,0.477053022
206,10/12/17 7:50,0.422620731
128,10/12/17 7:55,0.4511324
23,10/12/17 8:09,0.417604454
109,10/12/17 8:15,0.315176563
31,10/12/17 9:00,0.030557453
104,10/12/17 9:00,0.028684993
239,10/12/17 9:10,0.1
222,10/12/17 9:30,0.297709294
249,10/12/17 9:30,0.250553304
296,10/12/17 9:45,0.298510638
230,10/12/17 9:53,0.205623625
261,10/12/17 9:58,0.363582653
204,10/12/17 10:02,0.146816589
20,10/12/17 10:20,0.096836758
84,10/12/17 10:30,0.278261166
195,10/12/17 10:45,0.072965753
33,10/12/17 11:00,0.002009648
145,10/12/17 11:25,0.253014662
232,10/12/17 11:45,0.386393902
111,10/12/17 12:00,0.278983385
95,10/12/17 12:32,0.16243659
283,10/12/17 12:55,0.389662275
284,10/12/17 12:56,0.437019001
60,10/12/17 13:25,0.289066132
215,10/12/17 13:30,0.195413501
139,10/12/17 13:45,0.1
4,10/12/17 13:57,0.119476136
164,10/12/17 14:30,0.1
51,10/12/17 14:45,0.28228856
269,10/12/17 14:50,0.1
107,10/12/17 15:40,0.2728825
228,10/12/17 15:40,0.09322523
225,10/12/17 15:45,0.216501649
73,10/12/17 15:45,0.1
66,10/12/17 15:50,0.1
192,10/12/17 15:55,0.324650188
85,10/12/17 16:30,0.278261166
61,10/12/17 16:49,0.465168026
134,10/12/17 16:49,0.237209527
200,10/12/17 16:51,0.34754037
152,10/12/17 17:04,0.336749637
93,10/12/17 17:04,0.387055002
43,10/12/17 17:08,0.285224294
236,10/12/17 17:15,0.1
125,10/12/17 17:15,0.04723329
158,10/12/17 17:30,0.140057688
26,10/12/17 17:34,0.322347709
173,10/12/17 18:00,0.233797927
133,10/12/17 18:18,0.354567667
193,10/12/17 18:25,0.059583656
15,10/12/17 18:28,0.227806696
280,10/12/17 18:30,0.298747825
90,10/12/17 18:45,0.420389371
140,10/12/17 18:50,0.077612504
132,10/12/17 19:05,0.426290528
268,10/12/17 19:15,0.256635858
167,10/12/17 19:45,0.416883184
203,10/12/17 19:45,0.279099482
251,10/12/17 20:12,0.265378346
148,10/12/17 20:20,0.1
12,10/12/17 20:30,0.402923693
28,10/12/17 20:33,0.242215805
122,10/12/17 20:35,0.325733409
243,10/12/17 20:55,0.367588398
13,10/12/17 21:09,0.38298326
119,10/12/17 21:10,0.447091695
255,10/12/17 21:15,0.291510369
262,10/12/17 21:38,0.318020287
218,10/12/17 22:15,0.363676622
129,10/12/17 22:30,0.435204215
45,10/12/17 22:30,0.296866989
