,datetime,SOC
38,10/12/17 5:45,0.33181828
87,10/12/17 7:15,0.229211175
34,10/12/17 7:20,0.1
28,10/12/17 8:30,0.182482344
11,10/12/17 8:35,0.331556342
72,10/12/17 9:30,0.374065631
52,10/12/17 10:15,0.240344569
44,10/12/17 11:30,0.1
78,10/12/17 11:45,0.180246656
46,10/12/17 12:00,0.1
13,10/12/17 13:05,0.32908046
19,10/12/17 13:30,0.088379582
66,10/12/17 13:39,0.441547338
81,10/12/17 15:40,0.465208213
59,10/12/17 16:00,0.295169833
84,10/12/17 17:00,0.247460065
23,10/12/17 17:45,0.345309131
86,10/12/17 17:55,0.416201574
2,10/12/17 18:55,0.436656079
