,datetime,SOC
38,10/11/17 0:00,0.313055468
273,10/11/17 0:00,0.235366385
7,10/11/17 0:30,0.38675369
181,10/11/17 2:09,0.34347406
47,10/11/17 4:30,0.091245277
270,10/11/17 4:45,0.466984701
329,10/11/17 5:30,0.354974761
121,10/11/17 5:40,0.424309928
108,10/11/17 6:30,0.1
257,10/11/17 6:45,0.103800428
231,10/11/17 6:45,0.395459281
289,10/11/17 7:03,0.1
206,10/11/17 7:25,0.416296876
244,10/11/17 7:30,0.1
235,10/11/17 7:30,0.20289771
25,10/11/17 7:30,0.14653209
176,10/11/17 7:45,0.139690105
294,10/11/17 7:45,0.095734965
213,10/11/17 7:50,0.23349935
72,10/11/17 7:55,0.245313368
316,10/11/17 8:00,0.063512824
56,10/11/17 8:09,0.484929015
330,10/11/17 8:15,0.47536889
153,10/11/17 8:35,0.295553429
327,10/11/17 9:00,0.355991548
188,10/11/17 9:10,0.1
144,10/11/17 9:20,0.1
288,10/11/17 9:30,0.1
75,10/11/17 9:44,0.383920869
133,10/11/17 10:00,0.041981096
278,10/11/17 10:30,0.321857563
67,10/11/17 10:30,0.363484366
128,10/11/17 10:30,0.35189289
5,10/11/17 10:40,0.1
135,10/11/17 10:40,0.041981096
115,10/11/17 10:45,0.38706885
77,10/11/17 11:00,0.389043492
179,10/11/17 11:40,0.404993699
258,10/11/17 11:54,0.357071071
241,10/11/17 11:55,0.1
117,10/11/17 12:00,0.1
298,10/11/17 12:02,0.204845986
30,10/11/17 13:00,0.344393259
297,10/11/17 13:05,0.457064703
170,10/11/17 13:30,0.423158099
21,10/11/17 13:30,0.026152044
37,10/11/17 13:35,0.217871166
40,10/11/17 13:55,0.303785681
159,10/11/17 13:55,0.096836758
204,10/11/17 14:00,0.407587688
139,10/11/17 14:16,0.405719632
209,10/11/17 14:20,0.334284757
271,10/11/17 14:55,0.308025029
12,10/11/17 15:00,0.258315133
189,10/11/17 15:05,0.1
242,10/11/17 15:15,0.1
307,10/11/17 15:30,0.373352916
320,10/11/17 15:31,0.236524735
318,10/11/17 15:40,0.1
230,10/11/17 15:45,0.138996326
34,10/11/17 15:47,0.380292959
150,10/11/17 16:04,0.2903749
95,10/11/17 16:15,0.1
64,10/11/17 16:30,0.010354193
198,10/11/17 16:49,0.364152833
162,10/11/17 17:08,0.408270499
308,10/11/17 17:10,0.1
195,10/11/17 17:30,0.257845568
98,10/11/17 17:30,0.1
178,10/11/17 17:45,0.351771744
57,10/11/17 18:00,0.439944153
88,10/11/17 18:00,0.3864894
326,10/11/17 18:00,0.355991548
247,10/11/17 18:10,0.437555219
246,10/11/17 18:20,0.1
200,10/11/17 18:20,0.348288488
89,10/11/17 18:50,0.26378728
143,10/11/17 19:00,0.1
83,10/11/17 19:40,0.236071184
22,10/11/17 19:51,0.026152044
227,10/11/17 20:00,0.126978449
211,10/11/17 20:10,0.229516967
76,10/11/17 20:30,0.229758321
284,10/11/17 20:30,0.364187527
101,10/11/17 20:35,0.254451863
55,10/11/17 23:45,0.267547768
