,station
0,752.580999488
1,1505.16199898
2,2257.74299846
3,3010.32399795
4,3762.90499744
5,4515.48599693
6,5268.06699642
7,6020.6479959
8,6773.22899539
9,7525.80999488
10,8278.39099437
11,9030.97199386
12,9783.55299334
13,10536.1339928
14,11288.7149923
15,12041.2959918
16,12793.8769913
17,13546.4579908
18,14299.0389903
19,15051.6199898
20,15804.2009892
21,16556.7819887
22,17309.3629882
23,18061.9439877
24,18814.5249872
25,19567.1059867
26,20319.6869862
27,21072.2679857
28,21824.8489852
29,22577.4299846
30,23330.0109841
31,24082.5919836
32,24835.1729831
33,25587.7539826
34,26340.3349821
35,27092.9159816
36,27845.4969811
37,28598.0779805
38,29350.65898
39,30103.2399795
40,30855.820979
41,31608.4019785
42,32360.982978
43,33113.5639775
44,33866.144977
45,34618.7259764
46,35371.3069759
47,36123.8879754
48,36876.4689749
49,37629.0499744
50,38381.6309739
51,39134.2119734
52,39886.7929729
53,40639.3739724
54,41391.9549718
55,42144.5359713
56,42897.1169708
57,43649.6979703
58,44402.2789698
59,45154.8599693
60,45907.4409688
61,46660.0219683
62,47412.6029677
63,48165.1839672
64,48917.7649667
65,49670.3459662
66,50422.9269657
67,51175.5079652
68,51928.0889647
69,52680.6699642
70,53433.2509636
71,54185.8319631
72,54938.4129626
73,55690.9939621
74,56443.5749616
75,57196.1559611
76,57948.7369606
77,58701.3179601
78,59453.8989596
79,60206.479959
80,60959.0609585
81,61711.641958
82,62464.2229575
83,63216.803957
84,63969.3849565
85,64721.965956
86,65474.5469555
87,66227.1279549
88,66979.7089544
89,67732.2899539
90,68484.8709534
91,69237.4519529
92,69990.0329524
93,70742.6139519
94,71495.1949514
95,72247.7759508
96,73000.3569503
97,73752.9379498
98,74505.5189493
99,75258.0999488
100,76010.6809483
101,76763.2619478
102,77515.8429473
103,78268.4239468
104,79021.0049462
105,79773.5859457
106,80526.1669452
107,81278.7479447
108,82031.3289442
109,82783.9099437
110,83536.4909432
111,84289.0719427
112,85041.6529421
113,85794.2339416
114,86546.8149411
115,87299.3959406
116,88051.9769401
117,88804.5579396
118,89557.1389391
119,90309.7199386
120,91062.300938
121,91814.8819375
122,92567.462937
123,93320.0439365
124,94072.624936
125,94825.2059355
126,95577.786935
127,96330.3679345
128,97082.948934
129,97835.5299334
130,98588.1109329
131,99340.6919324
132,100093.272932
133,100845.853931
134,101598.434931
135,102351.01593
136,103103.59693
137,103856.177929
138,104608.758929
139,105361.339928
140,106113.920928
141,106866.501927
142,107619.082927
143,108371.663926
144,109124.244926
145,109876.825925
146,110629.406925
147,111381.987924
148,112134.568924
149,112887.149923
150,113639.730923
151,114392.311922
152,115144.892922
153,115897.473921
154,116650.054921
155,117402.63592
156,118155.21692
157,118907.797919
158,119660.378919
159,120412.959918
160,121165.540918
161,121918.121917
162,122670.702917
163,123423.283916
164,124175.864916
165,124928.445915
166,125681.026914
167,126433.607914
168,127186.188913
169,127938.769913
170,128691.350912
171,129443.931912
172,130196.512911
173,130949.093911
174,131701.67491
175,132454.25591
176,133206.836909
177,133959.417909
178,134711.998908
179,135464.579908
180,136217.160907
181,136969.741907
182,137722.322906
183,138474.903906
184,139227.484905
185,139980.065905
186,140732.646904
187,141485.227904
188,142237.808903
189,142990.389903
190,143742.970902
191,144495.551902
192,145248.132901
193,146000.713901
194,146753.2949
195,147505.8759
196,148258.456899
197,149011.037899
198,149763.618898
199,150516.199898
200,151268.780897
201,152021.361897
202,152773.942896
203,153526.523896
204,154279.104895
205,155031.685895
206,155784.266894
207,156536.847894
208,157289.428893
209,158042.009892
210,158794.590892
211,159547.171891
212,160299.752891
213,161052.33389
214,161804.91489
215,162557.495889
216,163310.076889
217,164062.657888
218,164815.238888
219,165567.819887
220,166320.400887
221,167072.981886
222,167825.562886
223,168578.143885
224,169330.724885
225,170083.305884
226,170835.886884
227,171588.467883
228,172341.048883
229,173093.629882
230,173846.210882
231,174598.791881
232,175351.372881
233,176103.95388
234,176856.53488
235,177609.115879
236,178361.696879
237,179114.277878
238,179866.858878
239,180619.439877
240,181372.020877
241,182124.601876
242,182877.182876
243,183629.763875
244,184382.344875
245,185134.925874
246,185887.506874
247,186640.087873
248,187392.668873
249,188145.249872
250,188897.830871
251,189650.411871
252,190402.99287
253,191155.57387
254,191908.154869
255,192660.735869
256,193413.316868
257,194165.897868
258,194918.478867
259,195671.059867
260,196423.640866
261,197176.221866
262,197928.802865
263,198681.383865
264,199433.964864
265,200186.545864
266,200939.126863
267,201691.707863
268,202444.288862
269,203196.869862
270,203949.450861
271,204702.031861
272,205454.61286
273,206207.19386
274,206959.774859
275,207712.355859
276,208464.936858
277,209217.517858
278,209970.098857
279,210722.679857
280,211475.260856
281,212227.841856
282,212980.422855
283,213733.003855
284,214485.584854
285,215238.165854
286,215990.746853
287,216743.327853
