1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
0,32454031.86,33474909.23,33730128.58,18334674.4,19355551.78,19192314.04,18338248.52,19359125.9,19528916.2,23473274.82,24494152.19,23137250.33,,,,32454031.86,33474909.23,33730128.58,18334674.4,19355551.78,18334674.4,18338248.52,19359125.9,19501551.2,23473274.82,24494152.19,23473274.82
1,32183433.63,33204311.01,33459530.35,18138409.64,19159287.02,19192314.04,18235764.83,19256642.21,19507350.02,23083414.11,24104291.49,23115199.19,,,,32183433.63,33204311.01,33459530.35,18138409.64,19159287.02,18330356.85,18235764.83,19256642.21,19489106.69,23083414.11,24104291.49,23369255.85
2,31901853.21,32922730.58,33177949.93,17904289.35,18925166.73,19180386.07,18188120.94,19208998.31,19464217.66,22761079.14,23781956.52,23071096.91,,,,31901853.21,32922730.58,33177949.93,17904289.35,18925166.73,18330356.85,18188120.94,19208998.31,19464217.66,22761079.14,23781956.52,23254604.24
3,31666510.33,32687387.7,32942607.05,17611388.59,18632265.96,18887485.31,18242448.55,19263325.92,19474133.77,22496849.24,23517726.62,23004943.49,,,,31666510.33,32687387.7,32942607.05,17611388.59,18632265.96,18330356.85,18242448.55,19263325.92,19466843.09,22496849.24,23517726.62,23129320
4,31438883.02,32459760.39,32714979.74,17439605.19,18460482.56,18715701.91,18186386.99,19207264.36,19462483.71,22138810.1,23159687.48,22916738.94,,,,31438883.02,32459760.39,32714979.74,17439605.19,18460482.56,18330356.85,18186386.99,19207264.36,19457024.02,22138810.1,23159687.48,22993403.13
5,31227087.68,32247965.06,32503184.4,17248865.45,18269742.82,18524962.17,18158663.7,19179541.08,19434760.42,21863561.82,22884439.2,22806483.24,,,,31227087.68,32247965.06,32503184.4,17248865.45,18269742.82,18330356.85,18158663.7,19179541.08,19434760.42,21863561.82,22884439.2,22846853.63
6,30946290.92,31967168.3,32222387.64,17033629.57,18054506.95,18309726.29,18189298.65,19210176.02,19448152.78,21560645.48,22581522.86,22674176.4,,,,30946290.92,31967168.3,32222387.64,17033629.57,18054506.95,18309726.29,18189298.65,19210176.02,19439031.12,21560645.48,22581522.86,22689671.49
7,30873739.44,31894616.82,32149836.16,16923394.87,17944272.25,18199491.59,18196007.23,19216884.61,19439978.96,21303349.53,22324226.91,22519818.42,,,,30873739.44,31894616.82,32149836.16,16923394.87,17944272.25,18199491.59,18196007.23,19216884.61,19430857.29,21303349.53,22324226.91,22521856.71
8,30679113.94,31699991.32,31955210.66,16844512.08,17865389.46,18120608.8,18134142.24,19155019.61,19410238.96,21067312.59,22088189.96,22343409.31,,,,30679113.94,31699991.32,31955210.66,16844512.08,17865389.46,18120608.8,18134142.24,19155019.61,19410238.96,21067312.59,22088189.96,22343409.31
9,30513240.45,31534117.82,31789337.17,16689618.46,17710495.83,17965715.18,18185759.24,19206636.62,19435961.26,20906423.72,21927301.1,22182520.44,,,,30513240.45,31534117.82,31789337.17,16689618.46,17710495.83,17965715.18,18185759.24,19206636.62,19431400.42,20906423.72,21927301.1,22182520.44
10,30357452.05,31378329.42,31633548.77,16467283.84,17488161.22,17743380.56,18164020.66,19184898.03,19440117.38,20781161.77,21802039.15,22057258.49,,,,30357452.05,31378329.42,31633548.77,16467283.84,17488161.22,17743380.56,18164020.66,19184898.03,19440117.38,20781161.77,21802039.15,22057258.49
11,30213530.4,31234407.78,31489627.12,16388270.13,17409147.5,17664366.85,18182653.95,19203531.33,19458750.67,20699178.31,21720055.68,21974662.91,,,,30213530.4,31234407.78,31489627.12,16388270.13,17409147.5,17664366.85,18182653.95,19203531.33,19451100.93,20699178.31,21720055.68,21968953.66
12,30103444.53,31124321.9,31379541.25,16132016.51,17152893.88,17408113.23,18189534.8,19210412.18,19463861.46,20593919.48,21614796.85,21870016.2,,,,30103444.53,31124321.9,31379541.25,16132016.51,17152893.88,17408113.23,18189534.8,19210412.18,19449639.96,20593919.48,21614796.85,21870016.2
13,29764573.62,30785451,31040670.34,16056517.67,17077395.05,17332614.39,18213054.42,19233931.79,19447406.06,20550386.69,21571264.07,21826483.41,,,,29764573.62,30785451,31040670.34,16056517.67,17077395.05,17332614.39,18213054.42,19233931.79,19435734.48,20550386.69,21571264.07,21826483.41
14,29647030.46,30667907.84,30923127.18,16015238.17,17036115.54,17291334.89,18133287.76,19154165.14,19409384.48,20532704.95,21553582.33,21808801.67,,,,29647030.46,30667907.84,30923127.18,16015238.17,17036115.54,17291334.89,18133287.76,19154165.14,19409384.48,20532704.95,21553582.33,21808801.67
15,29533706.97,30554584.35,30809803.69,15938194.1,16959071.48,17214290.82,18174553.12,19195430.49,19444031.51,20546075.67,21566953.05,21822172.39,,,,29533706.97,30554584.35,30809803.69,15938194.1,16959071.48,17214290.82,18174553.12,19195430.49,19435939.61,20546075.67,21566953.05,21813793.03
16,29456527.59,30477404.96,30732624.3,15933822.95,16954700.32,17209919.66,18181015.64,19201893.02,19457112.36,20609548,21630425.38,21876159.57,,,,29456527.59,30477404.96,30732624.3,15933822.95,16954700.32,17209919.66,18181015.64,19201893.02,19450050.23,20609548,21630425.38,21808151.75
17,29318994.91,30339872.28,30595091.63,15830284.09,16851161.47,17106380.81,18192954.33,19213831.7,19465546.09,20631998.89,21652876.26,21908095.61,,,,29318994.91,30339872.28,30595091.63,15830284.09,16851161.47,17106380.81,18192954.33,19213831.7,19451716.33,20631998.89,21652876.26,21791877.85
18,29321763.77,30342641.14,30597860.49,15779013.35,16799890.72,17055110.07,18181269.15,19202146.52,19452413.63,20716098.73,21736976.1,21959334.02,,,,29321763.77,30342641.14,30597860.49,15779013.35,16799890.72,17055110.07,18181269.15,19202146.52,19440937.92,20716098.73,21736976.1,21764971.3
19,29263609.1,30284486.47,30539705.82,15750807.24,16771684.62,17026903.96,18141618.27,19162495.64,19417714.99,20773708.8,21794586.17,21988521.29,,,,29263609.1,30284486.47,30539705.82,15750807.24,16771684.62,17026903.96,18141618.27,19162495.64,19417714.99,20773708.8,21794586.17,21727432.13
20,29153784.07,30174661.44,30429880.78,15692093.87,16712971.24,16968190.59,18195203.48,19216080.86,19448705.16,20886614.21,21907491.58,21995657.42,,,,29153784.07,30174661.44,30429880.78,15692093.87,16712971.24,16968190.59,18195203.48,19216080.86,19430461.82,20886614.21,21907491.58,21679260.32
21,29084897.31,30105774.69,30360994.03,15646335,16667212.38,16922431.72,18191392.72,19212270.09,19458129.15,20816748.52,21837625.89,21980742.41,,,,29084897.31,30105774.69,30360994.03,15646335,16667212.38,16922431.72,18191392.72,19212270.09,19430764.15,20816748.52,21837625.89,21620455.88
22,28830950.38,29851827.76,30107047.1,15566115.39,16586992.77,16842212.11,18195434.81,19216312.18,19445986.95,20838307.7,21859185.08,21943776.27,,,,28830950.38,29851827.76,30107047.1,15566115.39,16586992.77,16842212.11,18195434.81,19216312.18,19418621.95,20838307.7,21859185.08,21551018.8
