1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
0,20819625.72,21840503.09,22350941.78,22095722.44,22350941.78,22095722.44,,,21364093.65,21636327.62,21500210.64,21636327.62,21636327.62,,,20955742.7,21023801.19,20989771.95,21023801.19,20989771.95
1,20476629.52,21497506.9,22007945.59,21752726.24,22007945.59,21752726.24,,,21021097.46,21293331.42,21157214.44,21293331.42,21293331.42,,,20612746.51,20680805,20646775.75,20680805,20646775.75
2,20290505.43,21311382.81,21821821.5,21566602.15,21821821.5,21566602.15,,,20834973.37,21107207.33,20971090.35,21107207.33,21107207.33,,,20426622.42,20494680.91,20460651.66,20494680.91,20460651.66
3,20027476.27,21048353.64,21558792.33,21303572.99,21558792.33,21303572.99,,,20571944.2,20844178.17,20708061.18,20844178.17,20844178.17,,,20163593.25,20231651.74,20197622.5,20231651.74,20197622.5
4,19829861.22,20850738.6,21361177.28,21105957.94,21361177.28,21105957.94,,,20374329.15,20646563.12,20510446.14,20646563.12,20646563.12,,,19965978.2,20034036.7,20000007.45,20034036.7,20000007.45
5,19689373.81,20710251.19,21220689.88,20965470.53,21220689.88,20965470.53,,,20233841.75,20506075.71,20369958.73,20506075.71,20506075.71,,,19825490.8,19893549.29,19859520.04,19893549.29,19859520.04
6,19481999.51,20502876.88,21013315.57,20758096.23,21013315.57,20758096.23,,,20026467.44,20298701.41,20162584.43,20298701.41,20298701.41,,,19618116.49,19686174.98,19652145.74,19686174.98,19652145.74
7,19345961.56,20366838.93,20877277.62,20622058.27,20877277.62,20622058.27,,,19890429.49,20162663.46,20026546.47,20162663.46,20162663.46,,,19482078.54,19550137.03,19516107.78,19550137.03,19516107.78
8,19167029,20187906.38,20698345.07,20443125.72,20698345.07,20443125.72,,,19711496.94,19983730.91,19847613.92,19983730.91,19983730.91,,,19303145.99,19371204.48,19337175.23,19371204.48,19337175.23
9,18985276.85,20006154.23,20516592.92,20261373.57,20516592.92,20261373.57,,,19529744.79,19801978.75,19665861.77,19801978.75,19801978.75,,,19121393.84,19189452.33,19155423.08,19189452.33,19155423.08
10,18926031.99,19946909.36,20457348.05,20202128.71,20457348.05,20202128.71,,,19470499.92,19742733.89,19606616.9,19742733.89,19742733.89,,,19062148.97,19130207.46,19096178.22,19130207.46,19096178.22
11,18828573.5,19849450.88,20359889.57,20104670.22,20359889.57,20104670.22,,,19373041.44,19645275.41,19509158.42,19645275.41,19645275.41,,,18964690.49,19032748.98,18998719.73,19032748.98,18998719.73
12,18728977.32,19749854.7,20260293.39,20005074.04,20260293.39,20005074.04,,,19273445.26,19545679.22,19409562.24,19545679.22,19545679.22,,,18865094.31,18933152.8,18899123.55,18933152.8,18899123.55
13,18529017.35,19549894.73,20060333.41,19805114.07,20060333.41,19805114.07,,,19073485.28,19345719.25,19209602.27,19345719.25,19345719.25,,,18665134.33,18733192.82,18699163.58,18733192.82,18699163.58
14,18337107.13,19357984.5,19868423.19,19613203.85,19868423.19,19613203.85,,,18881575.06,19153809.03,19017692.04,19153809.03,19153809.03,,,18473224.11,18541282.6,18507253.36,18541282.6,18507253.36
15,18277061.98,19297939.35,19808378.04,19553158.7,19808378.04,19553158.7,,,18821529.91,19093763.88,18957646.9,19093763.88,19093763.88,,,18413178.96,18481237.45,18447208.21,18481237.45,18447208.21
16,18202118.93,19222996.31,19733434.99,19478215.65,19733434.99,19478215.65,,,18746586.87,19018820.83,18882703.85,19018820.83,19018820.83,,,18338235.92,18406294.41,18372265.16,18406294.41,18372265.16
17,18093548.86,19114426.24,19624864.93,19369645.58,19624864.93,19369645.58,,,18638016.8,18910250.76,18774133.78,18910250.76,18910250.76,,,18229665.85,18297724.34,18263695.09,18297724.34,18263695.09
18,17984684.66,19005562.03,19516000.72,19260781.38,19516000.72,19260781.38,,,18529152.59,18801386.56,18665269.57,18801386.56,18801386.56,,,18120801.64,18188860.13,18154830.89,18188860.13,18154830.89
19,17987069.75,19007947.12,19518385.81,19263166.46,19518385.81,19263166.46,,,18531537.68,18803771.65,18667654.66,18803771.65,18803771.65,,,18123186.73,18191245.22,18157215.97,18191245.22,18157215.97
20,17828718.51,18849595.89,19360034.57,19104815.23,19360034.57,19104815.23,,,18373186.44,18645420.41,18509303.43,18645420.41,18645420.41,,,17964835.49,18032893.99,17998864.74,18032893.99,17998864.74
21,17771088.64,18791966.02,19302404.71,19047185.36,19302404.71,19047185.36,,,18315556.58,18587790.54,18451673.56,18587790.54,18587790.54,,,17907205.63,17975264.12,17941234.87,17975264.12,17941234.87
22,17703940.78,18724818.15,19235256.84,18980037.5,19235256.84,18980037.5,,,18248408.71,18520642.68,18384525.69,18520642.68,18520642.68,,,17840057.76,17908116.25,17874087.01,17908116.25,17874087.01
23,17677510.64,18698388.01,19208826.7,18953607.36,19208826.7,18953607.36,,,18221978.57,18494212.54,18358095.55,18494212.54,18494212.54,,,17813627.62,17881686.11,17847656.87,17881686.11,17847656.87
24,17644023.15,18664900.52,19175339.21,18920119.87,19175339.21,18920119.87,,,18188491.08,18460725.05,18324608.06,18460725.05,18460725.05,,,17780140.13,17848198.62,17814169.38,17848198.62,17814169.38
25,17642866.72,18663744.1,19174182.78,18918963.44,19174182.78,18918963.44,,,18187334.65,18459568.62,18323451.64,18459568.62,18459568.62,,,17778983.7,17847042.2,17813012.95,17847042.2,17813012.95
26,17552101.37,18572978.74,19083417.43,18828198.08,19083417.43,18828198.08,,,18096569.3,18368803.27,18232686.28,18368803.27,18368803.27,,,17688218.35,17756276.84,17722247.59,17756276.84,17722247.59
27,17558450.47,18579327.84,19089766.53,18834547.19,19089766.53,18834547.19,,,18102918.4,18375152.37,18239035.38,18375152.37,18375152.37,,,17694567.45,17762625.94,17728596.7,17762625.94,17728596.7
28,17510704.14,18531581.51,19042020.2,18786800.86,19042020.2,18786800.86,,,18055172.07,18327406.04,18191289.05,18327406.04,18327406.04,,,17646821.12,17714879.61,17680850.37,17714879.61,17680850.37
29,17508455.23,18529332.61,19039771.29,18784551.95,19039771.29,18784551.95,,,18052923.17,18325157.13,18189040.15,18325157.13,18325157.13,,,17644572.22,17712630.71,17678601.46,17712630.71,17678601.46
30,17506158.59,18527035.96,19037474.65,18782255.31,19037474.65,18782255.31,,,18050626.52,18322860.49,18186743.5,18322860.49,18322860.49,,,17642275.57,17710334.06,17676304.82,17710334.06,17676304.82
31,17497738.22,18518615.6,19029054.28,18773834.94,19029054.28,18773834.94,,,18042206.15,18314440.12,18178323.14,18314440.12,18314440.12,,,17633855.2,17701913.7,17667884.45,17701913.7,17667884.45
32,17447321.09,18468198.47,18978637.15,18723417.81,18978637.15,18723417.81,,,17991789.02,18264022.99,18127906.01,18264022.99,18264022.99,,,17583438.07,17651496.56,17617467.32,17651496.56,17617467.32
33,17468394.43,18489271.8,18999710.49,18744491.15,18999710.49,18744491.15,,,18012862.36,18285096.33,18148979.34,18285096.33,18285096.33,,,17604511.41,17672569.9,17638540.66,17672569.9,17638540.66
34,17452520.98,18473398.35,18983837.04,18728617.7,18983837.04,18728617.7,,,17996988.91,18269222.88,18133105.9,18269222.88,18269222.88,,,17588637.96,17656696.45,17622667.21,17656696.45,17622667.21
35,17446747.04,18467624.41,18978063.1,18722843.76,18978063.1,18722843.76,,,17991214.97,18263448.94,18127331.95,18263448.94,18263448.94,,,17582864.02,17650922.51,17616893.27,17650922.51,17616893.27
36,17462804.26,18483681.64,18994120.32,18738900.98,18994120.32,18738900.98,,,18007272.19,18279506.16,18143389.18,18279506.16,18279506.16,,,17598921.24,17666979.74,17632950.49,17666979.74,17632950.49
37,17455295.59,18476172.97,18986611.66,18731392.31,18986611.66,18731392.31,,,17999763.53,18271997.49,18135880.51,18271997.49,18271997.49,,,17591412.58,17659471.07,17625441.82,17659471.07,17625441.82
38,17492108.06,18512985.44,19023424.12,18768204.78,19023424.12,18768204.78,,,18036575.99,18308809.96,18172692.98,18308809.96,18308809.96,,,17628225.04,17696283.54,17662254.29,17696283.54,17662254.29
39,17444708.66,18465586.04,18976024.73,18720805.38,18976024.73,18720805.38,,,17989176.6,18261410.56,18125293.58,18261410.56,18261410.56,,,17580825.65,17648884.14,17614854.89,17648884.14,17614854.89
40,17459884.86,18480762.23,18991200.92,18735981.57,18991200.92,18735981.57,,,18004352.79,18276586.76,18140469.77,18276586.76,18276586.76,,,17596001.84,17664060.33,17630031.08,17664060.33,17630031.08
41,17477401.91,18498279.28,19008717.97,18753498.63,19008717.97,18753498.63,,,18021869.84,18294103.81,18157986.83,18294103.81,18294103.81,,,17613518.89,17681577.38,17647548.14,17681577.38,17647548.14
42,17485784.52,18506661.9,19017100.59,18761881.24,19017100.59,18761881.24,,,18030252.46,18302486.42,18166369.44,18302486.42,18302486.42,,,17621901.51,17689960,17655930.75,17689960,17655930.75
43,17414853.31,18435730.69,18946169.37,18690950.03,18946169.37,18690950.03,,,17959321.24,18231555.21,18095438.23,18231555.21,18231555.21,,,17550970.29,17619028.79,17584999.54,17619028.79,17584999.54
44,17517613.66,18538491.04,19048929.73,18793710.38,19048929.73,18793710.38,,,18062081.6,18334315.56,18198198.58,18334315.56,18334315.56,,,17653730.65,17721789.14,17687759.89,17721789.14,17687759.89
45,17576285.88,18597163.26,19107601.95,18852382.6,19107601.95,18852382.6,,,18120753.82,18392987.78,18256870.8,18392987.78,18392987.78,,,17712402.87,17780461.36,17746432.11,17780461.36,17746432.11
46,17520382.87,18541260.25,19051698.94,18796479.59,19051698.94,18796479.59,,,18064850.81,18337084.77,18200967.79,18337084.77,18337084.77,,,17656499.86,17724558.35,17690529.1,17724558.35,17690529.1
47,17480446.36,18501323.73,19011762.42,18756543.08,19011762.42,18756543.08,,,18024914.29,18297148.26,18161031.27,18297148.26,18297148.26,,,17616563.34,17684621.83,17650592.59,17684621.83,17650592.59
48,17522972,18543849.37,19054288.06,18799068.72,19054288.06,18799068.72,,,18067439.93,18339673.9,18203556.91,18339673.9,18339673.9,,,17659088.98,17727147.47,17693118.23,17727147.47,17693118.23
49,17465673.02,18486550.39,18996989.08,18741769.74,18996989.08,18741769.74,,,18010140.95,18282374.92,18146257.94,18282374.92,18282374.92,,,17601790,17669848.49,17635819.25,17669848.49,17635819.25
