,datetime,SOC
98,2017-10-12 00:00:00,0.1
0,2017-10-12 00:00:00,0.1
49,2017-10-12 00:00:00,0.1
1,2017-10-12 01:04:00,0.357757202
50,2017-10-12 01:04:00,0.357757202
99,2017-10-12 01:04:00,0.357757202
51,2017-10-12 04:55:00,0.432790451
2,2017-10-12 04:55:00,0.432790451
100,2017-10-12 04:55:00,0.432790451
101,2017-10-12 06:25:00,0.396928848
3,2017-10-12 06:25:00,0.396928848
52,2017-10-12 06:25:00,0.396928848
53,2017-10-12 06:40:00,0.374397259
4,2017-10-12 06:40:00,0.374397259
102,2017-10-12 06:40:00,0.374397259
5,2017-10-12 08:20:00,0.035168365
54,2017-10-12 08:20:00,0.035168365
103,2017-10-12 08:20:00,0.035168365
6,2017-10-12 08:26:00,0.414687784
55,2017-10-12 08:26:00,0.414687784
104,2017-10-12 08:26:00,0.414687784
56,2017-10-12 08:50:00,0.455038154
105,2017-10-12 08:50:00,0.455038154
7,2017-10-12 08:50:00,0.455038154
8,2017-10-12 08:54:00,0.389018443
106,2017-10-12 08:54:00,0.389018443
57,2017-10-12 08:54:00,0.389018443
58,2017-10-12 09:00:00,0.126327036
9,2017-10-12 09:00:00,0.126327036
107,2017-10-12 09:00:00,0.126327036
59,2017-10-12 09:35:00,0.138725193
10,2017-10-12 09:35:00,0.138725193
108,2017-10-12 09:35:00,0.138725193
109,2017-10-12 09:44:00,0.168627699
11,2017-10-12 09:44:00,0.168627699
60,2017-10-12 09:44:00,0.168627699
12,2017-10-12 09:45:00,0.42823425
110,2017-10-12 09:45:00,0.42823425
61,2017-10-12 09:45:00,0.42823425
111,2017-10-12 10:00:00,0.1
62,2017-10-12 10:00:00,0.1
13,2017-10-12 10:00:00,0.1
14,2017-10-12 10:30:00,0.214955688
112,2017-10-12 10:30:00,0.214955688
63,2017-10-12 10:30:00,0.214955688
113,2017-10-12 11:20:00,0.32313127
15,2017-10-12 11:20:00,0.32313127
64,2017-10-12 11:20:00,0.32313127
114,2017-10-12 11:30:00,0.1
66,2017-10-12 11:30:00,0.1
65,2017-10-12 11:30:00,0.1
17,2017-10-12 11:30:00,0.1
16,2017-10-12 11:30:00,0.1
115,2017-10-12 11:30:00,0.1
67,2017-10-12 11:40:00,0.342182946
116,2017-10-12 11:40:00,0.342182946
18,2017-10-12 11:40:00,0.342182946
117,2017-10-12 11:45:00,0.334821774
19,2017-10-12 11:45:00,0.334821774
68,2017-10-12 11:45:00,0.334821774
69,2017-10-12 12:24:00,0.115599263
20,2017-10-12 12:24:00,0.115599263
