,number_of_vehicle_parked,power_demand
2017-07-28 00:00:00,17764.0,0.0
2017-07-28 00:01:00,17763.0,0.0
2017-07-28 00:02:00,17763.0,0.0
2017-07-28 00:03:00,17763.0,0.0
2017-07-28 00:04:00,17763.0,0.0
2017-07-28 00:05:00,17759.0,0.0
2017-07-28 00:06:00,17757.0,0.0
2017-07-28 00:07:00,17756.0,0.0
2017-07-28 00:08:00,17757.0,0.0
2017-07-28 00:09:00,17757.0,0.0
2017-07-28 00:10:00,17762.0,0.0
2017-07-28 00:11:00,17762.0,0.0
2017-07-28 00:12:00,17762.0,0.0
2017-07-28 00:13:00,17763.0,0.0
2017-07-28 00:14:00,17763.0,0.0
2017-07-28 00:15:00,17759.0,0.0
2017-07-28 00:16:00,17760.0,0.0
2017-07-28 00:17:00,17761.0,0.0
2017-07-28 00:18:00,17761.0,0.0
2017-07-28 00:19:00,17761.0,0.0
2017-07-28 00:20:00,17764.0,0.0
2017-07-28 00:21:00,17764.0,0.0
2017-07-28 00:22:00,17763.0,0.0
2017-07-28 00:23:00,17765.0,0.0
2017-07-28 00:24:00,17765.0,0.0
2017-07-28 00:25:00,17767.0,0.0
2017-07-28 00:26:00,17766.0,0.0
2017-07-28 00:27:00,17768.0,0.0
2017-07-28 00:28:00,17768.0,0.0
2017-07-28 00:29:00,17768.0,0.0
2017-07-28 00:30:00,17749.0,0.0
2017-07-28 00:31:00,17751.0,0.0
2017-07-28 00:32:00,17750.0,0.0
2017-07-28 00:33:00,17751.0,0.0
2017-07-28 00:34:00,17752.0,0.0
2017-07-28 00:35:00,17753.0,0.0
2017-07-28 00:36:00,17752.0,0.0
2017-07-28 00:37:00,17753.0,0.0
2017-07-28 00:38:00,17752.0,0.0
2017-07-28 00:39:00,17752.0,0.0
2017-07-28 00:40:00,17757.0,0.0
2017-07-28 00:41:00,17756.0,0.0
2017-07-28 00:42:00,17757.0,0.0
2017-07-28 00:43:00,17758.0,0.0
2017-07-28 00:44:00,17759.0,0.0
2017-07-28 00:45:00,17764.0,0.0
2017-07-28 00:46:00,17765.0,0.0
2017-07-28 00:47:00,17765.0,0.0
2017-07-28 00:48:00,17767.0,0.0
2017-07-28 00:49:00,17767.0,0.0
2017-07-28 00:50:00,17773.0,0.0
2017-07-28 00:51:00,17774.0,0.0
2017-07-28 00:52:00,17774.0,0.0
2017-07-28 00:53:00,17774.0,0.0
2017-07-28 00:54:00,17774.0,0.0
2017-07-28 00:55:00,17773.0,0.0
2017-07-28 00:56:00,17774.0,0.0
2017-07-28 00:57:00,17774.0,0.0
2017-07-28 00:58:00,17774.0,0.0
2017-07-28 00:59:00,17775.0,0.0
2017-07-28 01:00:00,17778.0,0.0
2017-07-28 01:01:00,17778.0,0.0
2017-07-28 01:02:00,17777.0,0.0
2017-07-28 01:03:00,17776.0,0.0
2017-07-28 01:04:00,17776.0,0.0
2017-07-28 01:05:00,17776.0,0.0
2017-07-28 01:06:00,17776.0,0.0
2017-07-28 01:07:00,17776.0,0.0
2017-07-28 01:08:00,17775.0,0.0
2017-07-28 01:09:00,17775.0,0.0
2017-07-28 01:10:00,17776.0,0.0
2017-07-28 01:11:00,17778.0,0.0
2017-07-28 01:12:00,17778.0,0.0
2017-07-28 01:13:00,17779.0,0.0
2017-07-28 01:14:00,17779.0,0.0
2017-07-28 01:15:00,17772.0,0.0
2017-07-28 01:16:00,17771.0,0.0
2017-07-28 01:17:00,17773.0,0.0
